gridSize,budgetPlayer1,budgetPlayer2,winner,duration,movesCount,algorithmPlayer1,algorithmPlayer2,nodeCountPlayer1,nodeCountPlayer2,ravePlayerOne,ravePlayerTwo,seedPlayerOne,seedPlayerTwo
10,16,17,1,1014026212,93,MCTS,MCTS,39729,41522,false,false,1743067651118,1743067651118
10,16,17,2,900312067,98,MCTS,MCTS,39993,41683,false,false,1743067651259,1743067651259
10,16,17,2,859176614,84,MCTS,MCTS,39060,40766,false,false,1743067651381,1743067651381
10,16,17,2,645754058,44,MCTS,MCTS,27500,28728,false,false,1743067651731,1743067651731
10,16,17,1,1002843185,97,MCTS,MCTS,39938,41636,false,false,1743067651456,1743067651456
10,16,17,1,975729414,93,MCTS,MCTS,39832,41470,false,false,1743067651485,1743067651485
10,16,17,1,1038250335,97,MCTS,MCTS,39922,41670,false,false,1743067651476,1743067651476
10,16,17,2,1031560732,90,MCTS,MCTS,39609,41372,false,false,1743067651531,1743067651531
10,16,17,1,1013559430,93,MCTS,MCTS,39682,41522,false,false,1743067651549,1743067651549
10,16,17,1,903529776,91,MCTS,MCTS,39671,41391,false,false,1743067651668,1743067651668
10,16,17,1,991333804,97,MCTS,MCTS,39898,41654,false,false,1743067651602,1743067651602
10,16,17,1,1049824926,89,MCTS,MCTS,39620,41187,false,false,1743067651633,1743067651633
10,16,17,1,936224477,93,MCTS,MCTS,39732,41522,false,false,1743067651800,1743067651800
10,16,17,2,997538345,94,MCTS,MCTS,39797,41561,false,false,1743067651739,1743067651739
10,16,17,2,951677164,86,MCTS,MCTS,39302,41007,false,false,1743067651837,1743067651837
10,16,17,1,1140948185,99,MCTS,MCTS,39958,41689,false,false,1743067651648,1743067651648
10,16,17,1,770858271,93,MCTS,MCTS,39678,41522,false,false,1743067652134,1743067652134
10,16,17,2,889287354,80,MCTS,MCTS,38480,39918,false,false,1743067652046,1743067652046
10,16,17,1,974932263,93,MCTS,MCTS,39733,41522,false,false,1743067652011,1743067652011
10,16,17,2,857591328,84,MCTS,MCTS,39060,40748,false,false,1743067652160,1743067652160
10,16,17,1,1001613492,93,MCTS,MCTS,39713,41522,false,false,1743067652103,1743067652103
10,16,17,2,1075533103,94,MCTS,MCTS,39790,41554,false,false,1743067652058,1743067652058
10,16,17,2,1025828482,86,MCTS,MCTS,39302,40994,false,false,1743067652241,1743067652241
10,16,17,2,746316096,88,MCTS,MCTS,39411,41187,false,false,1743067652572,1743067652572
10,16,17,1,887114147,95,MCTS,MCTS,39779,41617,false,false,1743067652461,1743067652461
10,16,17,1,1014216959,93,MCTS,MCTS,39724,41522,false,false,1743067652377,1743067652377
10,16,17,2,718620493,48,MCTS,MCTS,29232,30596,false,false,1743067652683,1743067652683
10,16,17,2,903168296,84,MCTS,MCTS,39060,40766,false,false,1743067652563,1743067652563
10,16,17,2,1052574373,66,MCTS,MCTS,35442,37058,false,false,1743067652459,1743067652459
10,16,17,1,1062389234,97,MCTS,MCTS,39886,41670,false,false,1743067652515,1743067652515
10,16,17,2,1016428533,84,MCTS,MCTS,39060,40766,false,false,1743067652563,1743067652563
10,16,17,1,849040624,95,MCTS,MCTS,39814,41617,false,false,1743067652736,1743067652736
10,16,17,2,803285143,92,MCTS,MCTS,39743,41474,false,false,1743067652789,1743067652789
10,16,17,1,1036215461,93,MCTS,MCTS,39753,41508,false,false,1743067652595,1743067652595
10,16,17,2,854132259,92,MCTS,MCTS,39743,41474,false,false,1743067652789,1743067652789
10,16,17,1,1032101685,91,MCTS,MCTS,39762,41391,false,false,1743067652737,1743067652737
10,16,17,2,899663988,86,MCTS,MCTS,39251,40861,false,false,1743067652935,1743067652935
10,16,17,2,903382542,84,MCTS,MCTS,39060,40766,false,false,1743067653018,1743067653018
10,16,17,1,1024202467,95,MCTS,MCTS,39955,41601,false,false,1743067652905,1743067652905
10,16,17,1,1068617529,95,MCTS,MCTS,39885,41617,false,false,1743067652986,1743067652986
10,16,17,1,998156624,97,MCTS,MCTS,39814,41670,false,false,1743067653106,1743067653106
10,16,17,2,893643459,86,MCTS,MCTS,39302,40978,false,false,1743067653267,1743067653267
10,16,17,2,914178334,84,MCTS,MCTS,39060,40766,false,false,1743067653348,1743067653348
10,16,17,1,1142451124,93,MCTS,MCTS,39797,41522,false,false,1743067653134,1743067653134
10,16,17,1,974968497,97,MCTS,MCTS,39845,41676,false,false,1743067653318,1743067653318
10,16,17,2,707395639,70,MCTS,MCTS,36470,38018,false,false,1743067653643,1743067653643
10,16,17,2,967709464,76,MCTS,MCTS,37772,39432,false,false,1743067653402,1743067653402
10,16,17,1,988711443,97,MCTS,MCTS,39947,41673,false,false,1743067653391,1743067653391
10,16,17,2,941469469,92,MCTS,MCTS,39752,41486,false,false,1743067653466,1743067653466
10,16,17,2,839437697,58,MCTS,MCTS,33002,34526,false,false,1743067653579,1743067653579
10,16,17,1,835950288,91,MCTS,MCTS,39721,41349,false,false,1743067653631,1743067653631
10,16,17,2,879986741,70,MCTS,MCTS,36470,38088,false,false,1743067653592,1743067653592
10,16,17,1,970119090,99,MCTS,MCTS,39885,41692,false,false,1743067653516,1743067653516
10,16,17,1,1014968590,91,MCTS,MCTS,39743,41372,false,false,1743067653578,1743067653578
10,16,17,2,1043012771,100,MCTS,MCTS,39910,41692,false,false,1743067653585,1743067653585
10,16,17,2,793435602,88,MCTS,MCTS,39466,41079,false,false,1743067653922,1743067653922
10,16,17,2,1037577375,90,MCTS,MCTS,39686,41336,false,false,1743067653770,1743067653770
10,16,17,2,904880216,56,MCTS,MCTS,32312,33808,false,false,1743067653929,1743067653929
10,16,17,2,1059659780,98,MCTS,MCTS,39958,41556,false,false,1743067653835,1743067653835
10,16,17,1,909383984,99,MCTS,MCTS,39911,41691,false,false,1743067654055,1743067654055
10,16,17,1,926967679,91,MCTS,MCTS,39615,41391,false,false,1743067654161,1743067654161
10,16,17,2,895589351,82,MCTS,MCTS,38786,40470,false,false,1743067654262,1743067654262
10,16,17,1,851834019,95,MCTS,MCTS,39962,41591,false,false,1743067654351,1743067654351
10,16,17,1,923590025,97,MCTS,MCTS,39932,41654,false,false,1743067654293,1743067654293
10,16,17,1,1128665695,95,MCTS,MCTS,39879,41617,false,false,1743067654105,1743067654105
10,16,17,2,821947423,54,MCTS,MCTS,31590,33056,false,false,1743067654419,1743067654419
10,16,17,1,963599568,93,MCTS,MCTS,39775,41323,false,false,1743067654277,1743067654277
10,16,17,2,856049462,82,MCTS,MCTS,38786,40490,false,false,1743067654472,1743067654472
10,16,17,1,959448672,93,MCTS,MCTS,39803,41491,false,false,1743067654408,1743067654408
10,16,17,1,805229385,91,MCTS,MCTS,39588,41391,false,false,1743067654593,1743067654593
10,16,17,2,1030646294,90,MCTS,MCTS,39622,41322,false,false,1743067654469,1743067654469
10,16,17,1,1020181693,95,MCTS,MCTS,39818,41617,false,false,1743067654486,1743067654486
10,16,17,1,1158462018,99,MCTS,MCTS,39877,41690,false,false,1743067654380,1743067654380
10,16,17,1,1176240182,95,MCTS,MCTS,39874,41601,false,false,1743067654370,1743067654370
10,16,17,2,721528618,60,MCTS,MCTS,33660,35210,false,false,1743067654835,1743067654835
10,16,17,2,621436905,52,MCTS,MCTS,30836,32114,false,false,1743067654965,1743067654965
10,16,17,2,969860117,88,MCTS,MCTS,39511,41179,false,false,1743067654629,1743067654629
10,16,17,1,919787100,93,MCTS,MCTS,39737,41508,false,false,1743067654715,1743067654715
10,16,17,2,1012328743,90,MCTS,MCTS,39665,41372,false,false,1743067654809,1743067654809
10,16,17,1,1100659548,91,MCTS,MCTS,39623,41391,false,false,1743067654896,1743067654896
10,16,17,2,475775434,42,MCTS,MCTS,26586,27830,false,false,1743067655539,1743067655539
10,16,17,2,941187620,84,MCTS,MCTS,39060,40714,false,false,1743067655088,1743067655088
10,16,17,2,711197595,48,MCTS,MCTS,29232,30596,false,false,1743067655329,1743067655329
10,16,17,2,899930119,88,MCTS,MCTS,39396,41201,false,false,1743067655203,1743067655203
10,16,17,2,1023255789,94,MCTS,MCTS,39877,41539,false,false,1743067655158,1743067655158
10,16,17,1,1011761389,93,MCTS,MCTS,39798,41522,false,false,1743067655217,1743067655217
10,16,17,1,995763054,97,MCTS,MCTS,39886,41667,false,false,1743067655234,1743067655234
10,16,17,2,991369618,94,MCTS,MCTS,39817,41586,false,false,1743067655241,1743067655241
10,16,17,2,865943364,72,MCTS,MCTS,36936,38600,false,false,1743067655368,1743067655368
10,16,17,2,1005250043,94,MCTS,MCTS,39817,41586,false,false,1743067655241,1743067655241
